Production date,Plant,Work center,Material,Material Description,Production in PHCs,,
3/16/2024,3005,PRD-04,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"37,609",,
3/16/2024,3002,PRD-05,103-535,COCA-COLA 1.5L 6BPET  PROMO,"57,394",,
3/16/2024,3003,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,"83,429",,
3/16/2024,3007,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,"56,784",,
3/16/2024,3002,PRD-06,110-580,CC PET 2L 1X6 RAMADAN PROMO,"4,212",,
3/16/2024,3002,PRD-07,309-700,SPRITE LEMON PET 350ML 1X12,"41,722",,
3/16/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"22,698",,
3/16/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,364,,
3/16/2024,3004,TPRD-1,731-831,CC ZERO SGR CAN250ML 1X12-KN,"20,853",,
3/17/2024,3007,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"68,068",,
3/17/2024,3011,PRD-01,104-130,COCA-COLA PET 2.25LTR,333,,
3/17/2024,3004,PRD-01,104-302,COCA-COLA 1.0L 6BPET PROMO,"1,966",,
3/17/2024,3004,PRD-01,294-300,SPRITE PET1L 1X6,"65,083",,
3/17/2024,3004,PRD-02,110-580,CC PET 2L 1X6 RAMADAN PROMO,"29,432",,
3/17/2024,3005,PRD-02,110-580,CC PET 2L 1X6 RAMADAN PROMO,"39,416",,
3/17/2024,3002,PRD-02,131-400,DASANI WATER PET 500ML 1X12,"28,428",,
3/17/2024,3002,PRD-02,306-800,SPRITE LEMON-MINT PET500MLX12,157,,
3/17/2024,3003,PRD-03,110-580,CC PET 2L 1X6 RAMADAN PROMO,"38,189",,
3/17/2024,3005,PRD-03,294-300,SPRITE PET1L 1X6,"1,511",,
3/17/2024,3005,PRD-04,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"1,032",,
3/17/2024,3005,PRD-04,306-800,SPRITE LEMON-MINT PET500MLX12,"16,817",,
3/17/2024,3002,PRD-05,103-535,COCA-COLA 1.5L 6BPET  PROMO,"23,452",,
3/17/2024,3003,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,497,,
3/17/2024,3007,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,"31,420",,
3/17/2024,3002,PRD-06,110-580,CC PET 2L 1X6 RAMADAN PROMO,"25,740",,
3/17/2024,3003,PRD-06,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"28,171",,
3/17/2024,3002,PRD-07,731-404,CC ZERO SGR PET500ML 1X12-KN,"12,412",,
3/18/2024,3004,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"68,640",,
3/18/2024,3007,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"74,503",,
3/18/2024,3011,PRD-01,104-130,COCA-COLA PET 2.25LTR,"43,936",,
3/18/2024,3002,PRD-01,290-130,SPRITE RB250,312,,
3/18/2024,3004,PRD-01,294-300,SPRITE PET1L 1X6,"51,210",,
3/18/2024,3003,PRD-02,100-130,COCA-COLA RB 250 ML,"4,680",,
3/18/2024,3002,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"88,660",,
3/18/2024,3011,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"192,379",,
3/18/2024,3005,PRD-02,110-557,CC PET 2L 1X6,"48,984",,
3/18/2024,3004,PRD-02,110-580,CC PET 2L 1X6 RAMADAN PROMO,"105,456",,
3/18/2024,3005,PRD-02,110-580,CC PET 2L 1X6 RAMADAN PROMO,"60,216",,
3/18/2024,3002,PRD-02,131-400,DASANI WATER PET 500ML 1X12,"10,611",,
3/18/2024,3005,PRD-03,103-535,COCA-COLA 1.5L 6BPET  PROMO,"30,173",,
3/18/2024,3006,PRD-03,103-535,COCA-COLA 1.5L 6BPET  PROMO,"50,908",,
3/18/2024,3003,PRD-03,110-580,CC PET 2L 1X6 RAMADAN PROMO,"90,418",,
3/18/2024,3004,PRD-03,290-130,SPRITE RB250,"5,304",,
3/18/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"9,282",,
3/18/2024,3005,PRD-04,103-535,COCA-COLA 1.5L 6BPET  PROMO,"68,640",,
3/18/2024,3005,PRD-04,306-800,SPRITE LEMON-MINT PET500MLX12,"34,234",,
3/18/2024,3002,PRD-05,103-535,COCA-COLA 1.5L 6BPET  PROMO,"102,817",,
3/18/2024,3007,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,"47,174",,
3/18/2024,3002,PRD-06,110-580,CC PET 2L 1X6 RAMADAN PROMO,"80,215",,
3/18/2024,3003,PRD-06,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"102,188",,
3/18/2024,3002,PRD-07,301-401,SPR ZERO PET500ML 1X12 NEW,"7,808",,
3/18/2024,3002,PRD-07,731-404,CC ZERO SGR PET500ML 1X12-KN,"28,274",,
3/18/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"11,544",,
3/18/2024,3002,PRD-10,291-730,SPRITE BIB 20 Lt_Import,364,,
3/18/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"21,951",,
3/18/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"26,195",,
3/19/2024,3004,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"142,571",,
3/19/2024,3007,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"73,216",,
3/19/2024,3011,PRD-01,110-557,CC PET 2L 1X6,"89,166",,
3/19/2024,3011,PRD-01,110-580,CC PET 2L 1X6 RAMADAN PROMO,"22,013",,
3/19/2024,3002,PRD-01,290-130,SPRITE RB250,"15,288",,
3/19/2024,3003,PRD-02,100-130,COCA-COLA RB 250 ML,"22,152",,
3/19/2024,3002,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"174,460",,
3/19/2024,3004,PRD-02,110-557,CC PET 2L 1X6,"72,176",,
3/19/2024,3005,PRD-02,110-557,CC PET 2L 1X6,"104,728",,
3/19/2024,3004,PRD-02,110-580,CC PET 2L 1X6 RAMADAN PROMO,"5,824",,
3/19/2024,3005,PRD-03,103-535,COCA-COLA 1.5L 6BPET  PROMO,"64,636",,
3/19/2024,3006,PRD-03,103-535,COCA-COLA 1.5L 6BPET  PROMO,"24,526",,
3/19/2024,3003,PRD-03,110-580,CC PET 2L 1X6 RAMADAN PROMO,"90,137",,
3/19/2024,3004,PRD-03,290-130,SPRITE RB250,"4,290",,
3/19/2024,3005,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"5,291",,
3/19/2024,3006,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"33,605",,
3/19/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"15,054",,
3/19/2024,3005,PRD-04,103-535,COCA-COLA 1.5L 6BPET  PROMO,"183,040",,
3/19/2024,3005,PRD-04,306-800,SPRITE LEMON-MINT PET500MLX12,139,,
3/19/2024,3002,PRD-05,103-535,COCA-COLA 1.5L 6BPET  PROMO,"21,701",,
3/19/2024,3007,PRD-05,190-175,FANTA ORANGE RB250ML UPGRADE,"4,836",,
3/19/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,"22,165",,
3/19/2024,3007,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,"22,502",,
3/19/2024,3002,PRD-06,110-580,CC PET 2L 1X6 RAMADAN PROMO,"90,137",,
3/19/2024,3007,PRD-06,191-475,FANTA ORANGE PET500ML UPGRADE,"11,011",,
3/19/2024,3003,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"102,817",,
3/19/2024,3002,PRD-07,191-475,FANTA ORANGE PET500ML UPGRADE,"20,420",,
3/19/2024,3002,PRD-07,301-401,SPR ZERO PET500ML 1X12 NEW,"31,929",,
3/19/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"34,710",,
3/19/2024,3002,PRD-10,191-630,Fanta Orange BIB 10 Lt,585,,
3/19/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"95,095",,
3/19/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"33,046",,
3/20/2024,3004,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"82,797",,
3/20/2024,3007,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"70,356",,
3/20/2024,3002,PRD-01,290-130,SPRITE RB250,"19,500",,
3/20/2024,3011,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"6,607",,
3/20/2024,3003,PRD-02,100-130,COCA-COLA RB 250 ML,"15,600",,
3/20/2024,3002,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"177,161",,
3/20/2024,3004,PRD-02,110-557,CC PET 2L 1X6,"83,304",,
3/20/2024,3005,PRD-02,110-557,CC PET 2L 1X6,"117,520",,
3/20/2024,3002,PRD-02,131-400,DASANI WATER PET 500ML 1X12,133,,
3/20/2024,3003,PRD-03,110-557,CC PET 2L 1X6,"10,670",,
3/20/2024,3003,PRD-03,110-580,CC PET 2L 1X6 RAMADAN PROMO,"22,684",,
3/20/2024,3005,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"98,241",,
3/20/2024,3006,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"62,062",,
3/20/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"12,792",,
3/20/2024,3005,PRD-04,103-535,COCA-COLA 1.5L 6BPET  PROMO,"170,313",,
3/20/2024,3007,PRD-05,190-175,FANTA ORANGE RB250ML UPGRADE,"26,364",,
3/20/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,"37,752",,
3/20/2024,3002,PRD-06,110-580,CC PET 2L 1X6 RAMADAN PROMO,"72,072",,
3/20/2024,3007,PRD-06,191-475,FANTA ORANGE PET500ML UPGRADE,"29,429",,
3/20/2024,3003,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"104,104",,
3/20/2024,3002,PRD-07,191-475,FANTA ORANGE PET500ML UPGRADE,"23,023",,
3/20/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"29,562",,
3/20/2024,3002,PRD-10,191-630,Fanta Orange BIB 10 Lt,196,,
3/20/2024,3002,PRD-10,731-631,CC ZERO SGR POM10LT 1X1,393,,
3/20/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"68,497",,
3/20/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"39,494",,
3/21/2024,3004,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"151,580",,
3/21/2024,3007,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"33,129",,
3/21/2024,3011,PRD-01,110-557,CC PET 2L 1X6,"4,596",,
3/21/2024,3011,PRD-01,110-580,CC PET 2L 1X6 RAMADAN PROMO,"49,088",,
3/21/2024,3002,PRD-01,290-130,SPRITE RB250,"5,382",,
3/21/2024,3007,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"28,457",,
3/21/2024,3011,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"67,831",,
3/21/2024,3004,PRD-02,110-557,CC PET 2L 1X6,"85,488",,
3/21/2024,3005,PRD-02,110-557,CC PET 2L 1X6,"123,760",,
3/21/2024,3011,PRD-02,193-575,FANTA ORANGE PET1.5LT UPGRADE,"68,019",,
3/21/2024,3006,PRD-02,291-730,SPRITE BIB 20 Lt_Import,52,,
3/21/2024,3003,PRD-03,110-557,CC PET 2L 1X6,"74,693",,
3/21/2024,3004,PRD-03,170-100,FANTA RED APPLE RB250ML 1X24,"4,368",,
3/21/2024,3005,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"108,680",,
3/21/2024,3006,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"36,179",,
3/21/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,"17,316",,
3/21/2024,3005,PRD-04,103-535,COCA-COLA 1.5L 6BPET  PROMO,"160,160",,
3/21/2024,3007,PRD-05,190-175,FANTA ORANGE RB250ML UPGRADE,"4,043",,
3/21/2024,3007,PRD-05,290-130,SPRITE RB250,"16,146",,
3/21/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,"79,937",,
3/21/2024,3003,PRD-05,306-901,SPR LEMON-MINT RB250 1X24 CONV,"13,260",,
3/21/2024,3007,PRD-06,103-535,COCA-COLA 1.5L 6BPET  PROMO,"21,307",,
3/21/2024,3002,PRD-06,110-580,CC PET 2L 1X6 RAMADAN PROMO,"91,822",,
3/21/2024,3007,PRD-06,191-475,FANTA ORANGE PET500ML UPGRADE,918,,
3/21/2024,3003,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"80,795",,
3/21/2024,3002,PRD-07,101-404,CC RPET500ML 1X12 PROMO,"38,238",,
3/21/2024,3002,PRD-07,191-475,FANTA ORANGE PET500ML UPGRADE,"7,552",,
3/21/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"8,905",,
3/21/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,364,,
3/21/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"97,240",,
3/21/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"40,300",,
3/22/2024,3003,PRD-01,101-404,CC RPET500ML 1X12 PROMO,"16,016",,
3/22/2024,3004,PRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"68,211",,
3/22/2024,3004,PRD-01,104-302,COCA-COLA 1.0L 6BPET PROMO,"44,990",,
3/22/2024,3011,PRD-01,110-557,CC PET 2L 1X6,"152,213",,
3/22/2024,3011,PRD-01,110-580,CC PET 2L 1X6 RAMADAN PROMO,"12,121",,
3/22/2024,3002,PRD-01,290-130,SPRITE RB250,"20,358",,
3/22/2024,3007,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"75,218",,
3/22/2024,3011,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"64,858",,
3/22/2024,3004,PRD-02,110-557,CC PET 2L 1X6,"61,776",,
3/22/2024,3005,PRD-02,110-557,CC PET 2L 1X6,"112,736",,
3/22/2024,3011,PRD-02,193-575,FANTA ORANGE PET1.5LT UPGRADE,"1,859",,
3/22/2024,3006,PRD-02,291-730,SPRITE BIB 20 Lt_Import,52,,
3/22/2024,3003,PRD-03,110-557,CC PET 2L 1X6,"52,135",,
3/22/2024,3006,PRD-03,110-557,CC PET 2L 1X6,"3,640",,
3/22/2024,3004,PRD-03,170-100,FANTA RED APPLE RB250ML 1X24,"10,764",,
3/22/2024,3005,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"41,279",,
3/22/2024,3006,PRD-03,293-530,SPRITE LEMON PET 1.5L /6,"3,102",,
3/22/2024,3006,PRD-03,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"17,727",,
3/22/2024,3005,PRD-03,309-700,SPRITE LEMON PET 350ML 1X12,"19,620",,
3/22/2024,3005,PRD-04,103-535,COCA-COLA 1.5L 6BPET  PROMO,"126,126",,
3/22/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"4,680",,
3/22/2024,3007,PRD-05,290-130,SPRITE RB250,"22,074",,
3/22/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,"96,668",,
3/22/2024,3003,PRD-05,306-901,SPR LEMON-MINT RB250 1X24 CONV,"11,915",,
3/22/2024,3007,PRD-06,103-535,COCA-COLA 1.5L 6BPET  PROMO,"39,897",,
3/22/2024,3002,PRD-06,110-557,CC PET 2L 1X6,"67,860",,
3/22/2024,3002,PRD-06,110-580,CC PET 2L 1X6 RAMADAN PROMO,"9,731",,
3/22/2024,3003,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"109,538",,
3/22/2024,3002,PRD-07,101-404,CC RPET500ML 1X12 PROMO,"65,065",,
3/22/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"30,498",,
3/22/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,364,,
3/22/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"91,091",,
3/22/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"53,487",,
3/23/2024,3003,PRD-01,101-404,CC RPET500ML 1X12 PROMO,"30,230",,
3/23/2024,3004,PRD-01,104-302,COCA-COLA 1.0L 6BPET PROMO,"148,949",,
3/23/2024,3011,PRD-01,110-557,CC PET 2L 1X6,"71,136",,
3/23/2024,3007,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"80,652",,
3/23/2024,3003,PRD-02,100-130,COCA-COLA RB 250 ML,"10,842",,
3/23/2024,3004,PRD-02,110-557,CC PET 2L 1X6,"74,048",,
3/23/2024,3005,PRD-02,110-557,CC PET 2L 1X6,"132,600",,
3/23/2024,3002,PRD-02,133-500,DASANI WATER PET 1.5L 1X6,"23,790",,
3/23/2024,3011,PRD-02,291-430,SPRITE PET500  1X12,"41,820",,
3/23/2024,3003,PRD-03,110-557,CC PET 2L 1X6,"97,812",,
3/23/2024,3006,PRD-03,110-557,CC PET 2L 1X6,"9,464",,
3/23/2024,3004,PRD-03,290-130,SPRITE RB250,"11,856",,
3/23/2024,3005,PRD-03,309-700,SPRITE LEMON PET 350ML 1X12,"74,656",,
3/23/2024,3004,PRD-04,100-130,COCA-COLA RB 250 ML,624,,
3/23/2024,3005,PRD-04,103-535,COCA-COLA 1.5L 6BPET  PROMO,"124,982",,
3/23/2024,3005,PRD-04,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"13,299",,
3/23/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"27,222",,
3/23/2024,3007,PRD-05,290-130,SPRITE RB250,"6,174",,
3/23/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,"95,524",,
3/23/2024,3007,PRD-06,103-535,COCA-COLA 1.5L 6BPET  PROMO,"41,041",,
3/23/2024,3002,PRD-06,110-557,CC PET 2L 1X6,"42,588",,
3/23/2024,3003,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"116,974",,
3/23/2024,3002,PRD-07,101-404,CC RPET500ML 1X12 PROMO,"63,063",,
3/23/2024,3002,PRD-08,100-130,COCA-COLA RB 250 ML,"8,710",,
3/23/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,390,,
3/23/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"95,810",,
3/23/2024,3004,TPRD-1,294-600,SPRITE CAN250ML 1X12,"48,360",,
3/24/2024,3003,PRD-01,101-404,CC RPET500ML 1X12 PROMO,"46,446",,
3/24/2024,3004,PRD-01,104-302,COCA-COLA 1.0L 6BPET PROMO,"169,697",,
3/24/2024,3011,PRD-01,104-302,COCA-COLA 1.0L 6BPET PROMO,218,,
3/24/2024,3011,PRD-01,110-557,CC PET 2L 1X6,"108,568",,
3/24/2024,3007,PRD-01,193-575,FANTA ORANGE PET1.5LT UPGRADE,"35,464",,
3/24/2024,3007,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"9,516",,
3/24/2024,3004,PRD-02,110-557,CC PET 2L 1X6,"71,552",,
3/24/2024,3005,PRD-02,110-557,CC PET 2L 1X6,"130,104",,
3/24/2024,3002,PRD-02,133-500,DASANI WATER PET 1.5L 1X6,"2,080",,
3/24/2024,3011,PRD-02,306-800,SPRITE LEMON-MINT PET500MLX12,"36,706",,
3/24/2024,3003,PRD-03,110-557,CC PET 2L 1X6,"94,255",,
3/24/2024,3005,PRD-03,112-403,CC RPET 350ML 1X12 - PROMO,"21,148",,
3/24/2024,3004,PRD-03,290-130,SPRITE RB250,"5,226",,
3/24/2024,3005,PRD-03,309-700,SPRITE LEMON PET 350ML 1X12,"25,272",,
3/24/2024,3005,PRD-04,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"36,066",,
3/24/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"26,364",,
3/24/2024,3002,PRD-05,293-530,SPRITE LEMON PET 1.5L /6,"15,349",,
3/24/2024,3002,PRD-05,294-300,SPRITE PET1L 1X6,"19,001",,
3/24/2024,3007,PRD-06,103-535,COCA-COLA 1.5L 6BPET  PROMO,"34,034",,
3/24/2024,3002,PRD-06,110-557,CC PET 2L 1X6,"75,254",,
3/24/2024,3003,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"120,692",,
3/24/2024,3002,PRD-07,101-404,CC RPET500ML 1X12 PROMO,"72,472",,
3/24/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,156,,
3/24/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"81,987",,
3/24/2024,3004,TPRD-1,294-600,SPRITE CAN250ML 1X12,"20,801",,
3/25/2024,3003,PRD-01,101-404,CC RPET500ML 1X12 PROMO,"3,574",,
3/25/2024,3004,PRD-01,104-302,COCA-COLA 1.0L 6BPET PROMO,"8,081",,
3/25/2024,3011,PRD-01,104-302,COCA-COLA 1.0L 6BPET PROMO,"58,689",,
3/25/2024,3003,PRD-01,191-475,FANTA ORANGE PET500ML UPGRADE,"16,537",,
3/25/2024,3007,PRD-01,193-575,FANTA ORANGE PET1.5LT UPGRADE,"64,636",,
3/25/2024,3002,PRD-01,290-130,SPRITE RB250,"8,424",,
3/25/2024,3003,PRD-01,291-430,SPRITE PET500  1X12,"9,810",,
3/25/2024,3004,PRD-01,294-300,SPRITE PET1L 1X6,"132,569",,
3/25/2024,3011,PRD-01,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"71,474",,
3/25/2024,3011,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"61,776",,
3/25/2024,3004,PRD-02,110-557,CC PET 2L 1X6,"67,704",,
3/25/2024,3005,PRD-02,110-557,CC PET 2L 1X6,"64,064",,
3/25/2024,3002,PRD-02,133-500,DASANI WATER PET 1.5L 1X6,"90,350",,
3/25/2024,3006,PRD-02,291-730,SPRITE BIB 20 Lt_Import,78,,
3/25/2024,3004,PRD-03,100-130,COCA-COLA RB 250 ML,"2,418",,
3/25/2024,3003,PRD-03,110-557,CC PET 2L 1X6,"88,546",,
3/25/2024,3006,PRD-03,110-557,CC PET 2L 1X6,"19,656",,
3/25/2024,3005,PRD-03,112-403,CC RPET 350ML 1X12 - PROMO,"72,618",,
3/25/2024,3005,PRD-04,101-404,CC RPET500ML 1X12 PROMO,"25,826",,
3/25/2024,3005,PRD-04,103-535,COCA-COLA 1.5L 6BPET  PROMO,64,,
3/25/2024,3003,PRD-05,100-170,COCA-COLA RB250ML 1X24 CONV.,"1,121",,
3/25/2024,3002,PRD-05,104-302,COCA-COLA 1.0L 6BPET PROMO,"4,368",,
3/25/2024,3003,PRD-05,190-106,FANTA ORAN.250ML UPGRADE CONV.,"11,466",,
3/25/2024,3002,PRD-05,294-300,SPRITE PET1L 1X6,"61,589",,
3/25/2024,3007,PRD-06,103-535,COCA-COLA 1.5L 6BPET  PROMO,"42,757",,
3/25/2024,3002,PRD-06,110-557,CC PET 2L 1X6,"107,640",,
3/25/2024,3003,PRD-06,193-575,FANTA ORANGE PET1.5LT UPGRADE,"48,906",,
3/25/2024,3003,PRD-06,293-530,SPRITE LEMON PET 1.5L /6,"21,142",,
3/25/2024,3002,PRD-07,101-404,CC RPET500ML 1X12 PROMO,"23,122",,
3/25/2024,3002,PRD-07,291-430,SPRITE PET500  1X12,801,,
3/25/2024,3002,PRD-08,190-175,FANTA ORANGE RB250ML UPGRADE,"6,552",,
3/25/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,754,,
3/25/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"54,531",,
3/25/2024,3004,TPRD-1,194-675,FANTA ORANGE CAN250ML UPGRADE,"10,881",,
3/26/2024,3007,PRD-01,193-575,FANTA ORANGE PET1.5LT UPGRADE,"70,499",,
3/26/2024,3003,PRD-01,291-430,SPRITE PET500  1X12,"40,040",,
3/26/2024,3004,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"79,651",,
3/26/2024,3004,PRD-01,294-300,SPRITE PET1L 1X6,"3,713",,
3/26/2024,3011,PRD-01,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"1,287",,
3/26/2024,3002,PRD-01,306-900,SPRITE LEMON-MINT RB 250 1X24,"12,948",,
3/26/2024,3003,PRD-02,100-130,COCA-COLA RB 250 ML,"12,948",,
3/26/2024,3011,PRD-02,103-535,COCA-COLA 1.5L 6BPET  PROMO,"60,783",,
3/26/2024,3004,PRD-02,110-557,CC PET 2L 1X6,"106,808",,
3/26/2024,3005,PRD-02,110-557,CC PET 2L 1X6,"104,416",,
3/26/2024,3011,PRD-02,112-403,CC RPET 350ML 1X12 - PROMO,"50,196",,
3/26/2024,3002,PRD-02,133-500,DASANI WATER PET 1.5L 1X6,"87,360",,
3/26/2024,3006,PRD-02,291-730,SPRITE BIB 20 Lt_Import,91,,
3/26/2024,3004,PRD-03,100-130,COCA-COLA RB 250 ML,"19,266",,
3/26/2024,3003,PRD-03,110-557,CC PET 2L 1X6,"77,314",,
3/26/2024,3006,PRD-03,110-557,CC PET 2L 1X6,"31,720",,
3/26/2024,3005,PRD-03,112-403,CC RPET 350ML 1X12 - PROMO,"78,224",,
3/26/2024,3005,PRD-04,101-404,CC RPET500ML 1X12 PROMO,"47,247",,
3/26/2024,3005,PRD-04,306-500,SPRITE LEMON-MINT PET 1.5LTX6,"6,149",,
3/26/2024,3002,PRD-05,104-302,COCA-COLA 1.0L 6BPET PROMO,"97,843",,
3/26/2024,3003,PRD-05,190-106,FANTA ORAN.250ML UPGRADE CONV.,"3,978",,
3/26/2024,3003,PRD-05,290-170,SPRITE RB250ML 1X24 CONV.,312,,
3/26/2024,3002,PRD-05,294-300,SPRITE PET1L 1X6,190,,
3/26/2024,3007,PRD-06,103-535,COCA-COLA 1.5L 6BPET  PROMO,"43,901",,
3/26/2024,3003,PRD-06,104-302,COCA-COLA 1.0L 6BPET PROMO,"60,278",,
3/26/2024,3002,PRD-06,110-557,CC PET 2L 1X6,"58,687",,
3/26/2024,3003,PRD-06,193-575,FANTA ORANGE PET1.5LT UPGRADE,"16,411",,
3/26/2024,3002,PRD-07,291-430,SPRITE PET500  1X12,"65,265",,
3/26/2024,3002,PRD-08,190-175,FANTA ORANGE RB250ML UPGRADE,"25,064",,
3/26/2024,3002,PRD-10,101-730,COCA COLA BIB POSTMIX 20L,520,,
3/26/2024,3012,TPRD-01,103-535,COCA-COLA 1.5L 6BPET  PROMO,"98,813",,
3/26/2024,3004,TPRD-1,104-630,COCA-COLA 250 ML CAN X12,"28,210",,
3/26/2024,3004,TPRD-1,194-675,FANTA ORANGE CAN250ML UPGRADE,"23,473",,
3/27/2024,3004,PRD-01,104-302,COCA-COLA 1.0L 6BPET PROMO,195,,
3/27/2024,3011,PRD-01,110-557,CC PET 2L 1X6,"150,834",,
3/27/2024,3007,PRD-01,193-575,FANTA ORANGE PET1.5LT UPGRADE,"73,645",,
3/27/2024,3003,PRD-01,291-430,SPRITE PET500  1X12,"22,178",,
3/27/2024,3004,PRD-01,293-530,SPRITE LEMON PET 1.5L /6,"139,425",,
3/27/2024,3003,PRD-01,306-800,SPRITE LEMON-MINT PET500MLX12,"13,013",,
3/27/2024,3002,PRD-01,306-900,SPRITE LEMON-MINT RB 250 1X24,"14,976",,
3/27/2024,3003,PRD-02,100-130,COCA-COLA RB 250 ML,"14,430",,
3/27/2024,3004,PRD-02,110-557,CC PET 2L 1X6,"67,288",,
3/27/2024,3005,PRD-02,110-557,CC PET 2L 1X6,"86,320",,
